fixture_id,fixture_name,fixture_type,fixture_patch,attribute,raw_value,cue_count,sequence_count,cue_list_preview,details
38,HelDGB8S 38,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.409,DIM,0.00,4,1,2.41 Jdou k nemu do rohu - Pouze astery | 2.42 W.spot pryc | 2.43 Zhasnuti astery..Odkuleni c.9 | 2.82 Bez aster- odejde W. - Stahnout Lampicky orchestr,repeated hard value candidate for preset cleanup
39,HelDGB8S 39,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.433,DIM,0.00,4,1,2.41 Jdou k nemu do rohu - Pouze astery | 2.42 W.spot pryc | 2.43 Zhasnuti astery..Odkuleni c.9 | 2.82 Bez aster- odejde W. - Stahnout Lampicky orchestr,repeated hard value candidate for preset cleanup
40,HelDGB8S 40,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,2.457,DIM,0.00,4,1,2.46.6 Labus u astery | 2.76 J+F duet - S hudbou | 2.84 TMA | 2.85 Dekovacka,repeated hard value candidate for preset cleanup
101,RSpiide3 1,7 Robin Spiider Mode 3,4.034,COLORMIXER,0.00,4,1,2.11 J. SOLO - 2:47 | 2.18 Rackove rostazeny nohy 5:05 | 2.25 Vilda odchazi | 2.76 J+F duet - S hudbou,repeated hard value candidate for preset cleanup
101,RSpiide3 1,7 Robin Spiider Mode 3,4.034,COLORMIXMODE,29.20,4,1,2.11 J. SOLO - 2:47 | 2.18 Rackove rostazeny nohy 5:05 | 2.25 Vilda odchazi | 2.76 J+F duet - S hudbou,repeated hard value candidate for preset cleanup
101,RSpiide3 1,7 Robin Spiider Mode 3,4.034,CTC,0.00,4,1,2.11 J. SOLO - 2:47 | 2.18 Rackove rostazeny nohy 5:05 | 2.25 Vilda odchazi | 2.76 J+F duet - S hudbou,repeated hard value candidate for preset cleanup
101,RSpiide3 1,7 Robin Spiider Mode 3,4.034,LAMPCONTROL,0.00,4,1,2.11 J. SOLO - 2:47 | 2.18 Rackove rostazeny nohy 5:05 | 2.25 Vilda odchazi | 2.76 J+F duet - S hudbou,repeated hard value candidate for preset cleanup
101,RSpiide3 1,7 Robin Spiider Mode 3,4.034,POSITIONMSPEED,0.00,4,1,2.11 J. SOLO - 2:47 | 2.18 Rackove rostazeny nohy 5:05 | 2.25 Vilda odchazi | 2.76 J+F duet - S hudbou,repeated hard value candidate for preset cleanup
101,RSpiide3 1,7 Robin Spiider Mode 3,4.034,SHUTTER,18.90,4,1,2.11 J. SOLO - 2:47 | 2.18 Rackove rostazeny nohy 5:05 | 2.25 Vilda odchazi | 2.76 J+F duet - S hudbou,repeated hard value candidate for preset cleanup
102,RSpiide3 2,7 Robin Spiider Mode 3,4.001,COLORMIXER,0.00,4,1,2.11 J. SOLO - 2:47 | 2.18 Rackove rostazeny nohy 5:05 | 2.25 Vilda odchazi | 2.76 J+F duet - S hudbou,repeated hard value candidate for preset cleanup
102,RSpiide3 2,7 Robin Spiider Mode 3,4.001,COLORMIXMODE,29.20,4,1,2.11 J. SOLO - 2:47 | 2.18 Rackove rostazeny nohy 5:05 | 2.25 Vilda odchazi | 2.76 J+F duet - S hudbou,repeated hard value candidate for preset cleanup
102,RSpiide3 2,7 Robin Spiider Mode 3,4.001,CTC,0.00,4,1,2.11 J. SOLO - 2:47 | 2.18 Rackove rostazeny nohy 5:05 | 2.25 Vilda odchazi | 2.76 J+F duet - S hudbou,repeated hard value candidate for preset cleanup
